"","date","approval","percentage"
"551",2007-09-01,"Don't approve",0.2
"552",2007-09-01,"No answer",0.01
"553",2007-08-01,"Approve",0.82
"554",2007-08-01,"Don't approve",0.16
"555",2007-08-01,"No answer",0.01
"556",2007-07-01,"Approve",0.85
"557",2007-07-01,"Don't approve",0.14
"558",2007-07-01,"No answer",0.01
"559",2007-06-01,"Approve",0.81
"560",2007-06-01,"Don't approve",0.18
"561",2007-06-01,"No answer",0.01
"562",2007-05-01,"Approve",0.8
"563",2007-05-01,"Don't approve",0.18
"564",2007-05-01,"No answer",0.02
"565",2007-04-01,"Approve",0.79
"566",2007-04-01,"Don't approve",0.19
"567",2007-04-01,"No answer",0.01
"568",2007-03-01,"Approve",0.81
"569",2007-03-01,"Don't approve",0.18
"570",2007-03-01,"No answer",0.01
"571",2007-02-01,"Approve",0.81
"572",2007-02-01,"Don't approve",0.18
"573",2007-02-01,"No answer",0.01
"574",2007-01-01,"Approve",0.8
"575",2007-01-01,"Don't approve",0.19
"576",2007-01-01,"No answer",0.01
"577",2006-12-01,"Approve",0.78
"578",2006-12-01,"Don't approve",0.21
"579",2006-12-01,"No answer",0.01
"580",2006-11-01,"Approve",0.81
"581",2006-11-01,"Don't approve",0.18
"582",2006-11-01,"No answer",0.02
"583",2006-10-01,"Approve",0.77
"584",2006-10-01,"Don't approve",0.22
"585",2006-10-01,"No answer",0.01
"586",2006-09-01,"Approve",0.75
"587",2006-09-01,"Don't approve",0.22
"588",2006-09-01,"No answer",0.03
"589",2006-08-01,"Approve",0.78
"590",2006-08-01,"Don't approve",0.21
"591",2006-08-01,"No answer",0.01
"592",2006-07-01,"Approve",0.79
"593",2006-07-01,"Don't approve",0.19
"594",2006-07-01,"No answer",0.02
"595",2006-06-01,"Approve",0.77
"596",2006-06-01,"Don't approve",0.21
"597",2006-06-01,"No answer",0.02
"598",2006-05-01,"Approve",0.76
"599",2006-05-01,"Don't approve",0.23
"600",2006-05-01,"No answer",0.01
"601",2006-04-01,"Approve",0.72
"602",2006-04-01,"Don't approve",0.26
"603",2006-04-01,"No answer",0.01
"604",2006-03-01,"Approve",0.72
"605",2006-03-01,"Don't approve",0.26
"606",2006-03-01,"No answer",0.02
"607",2006-02-01,"Approve",0.75
